source,case_id,time,loss,output_increment_l2,max_depth_gram_increment_fro
PDE,C2,2.4,1.0477573790841827e-07,1.0315510731339277,0.5466177536404446
PDE,C2,2.44,8.00295449210069e-08,1.0316073522223463,0.5466676474386908
PDE,C2,2.48,6.11509793220644e-08,1.0316563768691152,0.5467110991152496
PDE,C2,2.52,4.6743955306823226e-08,1.0316990832825548,0.5467489410917619
PDE,C2,2.56,3.5745548381871506e-08,1.0317362867675333,0.5467818982070914
PDE,C2,2.6,2.734628855020812e-08,1.0317686973390794,0.5468106016119679
PDE,C2,2.64,2.0929562871087054e-08,1.0317969333218409,0.5468356008729641
PDE,C2,2.68,1.602553835737882e-08,1.031821533194444,0.5468573745154733
PDE,C2,2.72,1.2276119569890686e-08,1.0318429659047004,0.5468763392061706
PDE,C2,2.7600000000000002,9.40829315458202e-09,1.0318616398526732,0.5468928577499218
PDE,C2,2.8000000000000003,7.213847857598775e-09,1.0318779107133635,0.5469072460537614
PDE,C2,2.84,5.533941767455996e-09,1.0318920882487084,0.5469197791910364
PDE,C2,2.88,4.247355522733196e-09,1.0319044422393346,0.546930696681752
PDE,C2,2.92,3.261548962439743e-09,1.031915207649738,0.5469402070902634
PDE,C2,2.96,2.505850430169768e-09,1.0319245891258897,0.5469484920284395
PDE,C2,3.0,1.9262687932906146e-09,1.0319327649115317,0.5469557096411205
PDE,C2,3.04,1.4815404491332334e-09,1.031939890258282,0.5469619976407423
PDE,C2,3.08,1.1401164589611444e-09,1.0319461003949741,0.5469674759494285
PDE,C2,3.12,8.778655274012471e-10,1.0319515131132142,0.5469722489992895
PDE,C2,3.16,6.763221949699522e-10,1.0319562310187707,0.5469764077351513
PDE,C2,3.2,5.213503975673468e-10,1.0319603434920033,0.54698003135819
PDE,C2,3.24,4.0212356111218584e-10,1.031963928394956,0.5469831888440042
PDE,C2,3.2800000000000002,3.103459871168427e-10,1.0319670535578624,0.5469859402643025
PDE,C2,3.3200000000000003,2.3965822842605304e-10,1.0319697780736015,0.5469883379376312
PDE,C2,3.36,1.8518280719346565e-10,1.0319721534249147,0.5469904274312444
PDE,C2,3.4,1.4317701704087324e-10,1.0319742244660297,0.5469922484334069
PDE,C2,3.44,1.1076746152667877e-10,1.0319760302774965,0.5469938355128683
PDE,C2,3.48,8.574700303444654e-11,1.0319776049106364,0.5469952187801389
PDE,C2,3.52,6.641938351484669e-11,1.0319789780358701,0.54699642446325
PDE,C2,3.56,5.148027291276365e-11,1.0319801755073494,0.5469974754090791
PDE,C2,3.6,3.992616423448869e-11,1.031981219854709,0.546998391519866
PDE,C2,3.64,3.0984564244740626e-11,1.0319821307113564,0.5469991901333092
PDE,C2,3.68,2.4060476705840454e-11,1.031982925187503,0.5469998863535315
PDE,C2,3.72,1.869535593082048e-11,1.0319836181950666,0.5470004933392894
PDE,C2,3.7600000000000002,1.453560918734439e-11,1.031984222730675,0.5470010225549339
PDE,C2,3.8000000000000003,1.1308414433337699e-11,1.0319847501221708,0.5470014839889599
PDE,C2,3.84,8.803144714565848e-12,1.031985210243336,0.5470018863443223
PDE,C2,3.88,6.857091855360914e-12,1.031985611700938,0.5470022372041803
PDE,C2,3.92,5.3444884402783925e-12,1.0319859619976748,0.5470025431762351
PDE,C2,3.96,4.168061496299769e-12,1.0319862676741178,0.5470028100184393
PDE,C2,4.0,3.2525303749373014e-12,1.0319865344323813,0.5470030427484808
PDE,C2,4.04,2.5395985126197422e-12,1.0319867672438536,0.5470032457391363
PDE,C2,4.08,1.9840936105376343e-12,1.0319869704430689,0.5470034228013207
PDE,C2,4.12,1.550991186202622e-12,1.031987147809487,0.5470035772564295
PDE,C2,4.16,1.213117954023982e-12,1.0319873026387563,0.5470037119993456
PDE,C2,4.2,9.493787269082168e-13,1.0319874378048026,0.5470038295533248
PDE,C2,4.24,7.433866584510862e-13,1.0319875558139353,0.5470039321178063
PDE,C2,4.28,5.824044432352327e-13,1.0319876588519985,0.547004021610059
PDE,C2,4.32,4.565253829569688e-13,1.0319877488254552,0.5470040997014632
PDE,C2,4.36,3.5803958421487676e-13,1.0319878273971965,0.5470041678491179
PDE,C2,4.4,2.8094313214933046e-13,1.0319878960177484,0.547004227323376
PDE,C2,4.44,2.2055775608324933e-13,1.0319879559524732,0.5470042792318388
PDE,C2,4.48,1.7323592804045123e-13,1.0319880083052713,0.5470043245402548
PDE,C2,4.5200000000000005,1.361320576310087e-13,1.0319880540392503,0.5470043640907317
PDE,C2,4.5600000000000005,1.0702486355726858e-13,1.031988093994735,0.5470043986176094
PDE,C2,4.6000000000000005,8.417938703615259e-14,1.0319881289049697,0.5470044287612832
PDE,C2,4.64,6.623973202636968e-14,1.031988159409807,0.5470044550802587
PDE,C2,4.68,5.2145641123232487e-14,1.0319881860676419,0.5470044780616454
PDE,C2,4.72,4.106756817527484e-14,1.0319882093658155,0.5470044981303165
PDE,C2,4.76,3.235611632355955e-14,1.0319882297296878,0.5470045156568756
PDE,C2,4.8,2.5502639086918613e-14,1.0319882475305477,0.547004530964614
PDE,C2,4.84,2.0108521152072677e-14,1.0319882630925097,0.5470045443355654
PDE,C2,4.88,1.586121228284857e-14,1.0319882766985309,0.5470045560157876
PDE,C2,4.92,1.2515519436951165e-14,1.031988288595654,0.5470045662199668
PDE,C2,4.96,9.878993633297637e-15,1.0319882989995859,0.5470045751354284
PDE,C2,5.0,7.800509898398717e-15,1.0319883080986836,0.5470045829256356
PDE,C2,5.04,6.1613366622995815e-15,1.0319883160574397,0.5470045897332377
PDE,C2,5.08,4.868148659864283e-15,1.031988323019514,0.5470045956827314
PDE,C2,5.12,3.847556723082852e-15,1.031988329110385,0.5470046008827771
PDE,C2,5.16,3.0418233337919364e-15,1.031988334439659,0.5470046054282212
PDE,C2,5.2,2.40550493090571e-15,1.0319883391030864,0.5470046094018566
PDE,C2,5.24,1.902818913418038e-15,1.0319883431843218,0.5470046128759614
PDE,C2,5.28,1.5055783522988454e-15,1.0319883467564561,0.5470046159136389
PDE,C2,5.32,1.1915706680996485e-15,1.0319883498833593,0.5470046185699874
PDE,C2,5.36,9.432845734943097e-16,1.0319883526208475,0.5470046208931166
PDE,C2,5.4,7.46909891693455e-16,1.0319883550177016,0.5470046229250424
PDE,C2,5.44,5.915512976816332e-16,1.0319883571165613,0.5470046247024555
PDE,C2,5.48,4.686100490486433e-16,1.0319883589546994,0.5470046262574045
PDE,C2,5.5200000000000005,3.712976223925491e-16,1.0319883605647011,0.5470046276178836
PDE,C2,5.5600000000000005,2.9425281172322734e-16,1.0319883619750565,0.5470046288083454
PDE,C2,5.6000000000000005,2.3324028525109775e-16,1.0319883632106792,0.5470046298501551
PDE,C2,5.64,1.8491310398834842e-16,1.0319883642933547,0.5470046307619798
PDE,C2,5.68,1.4662560915052998e-16,1.0319883652421376,0.5470046315601285
PDE,C2,5.72,1.1628586080336334e-16,1.0319883660736937,0.5470046322588554
PDE,C2,5.76,9.223930137609389e-17,1.0319883668026026,0.5470046328706174
PDE,C2,5.8,7.317693085007114e-17,1.0319883674416208,0.5470046334063036
PDE,C2,5.84,5.80629021363297e-17,1.0319883680019075,0.5470046338754303
