source,case_id,time,depth_index,depth_fraction,gram_increment_fro,gram_increment_normalized
dense,C0,2.2800000000000002,16,1.0,0.7638639918897325,0.9999804365954477
dense,C0,2.32,0,0.0,0.24699881562027343,0.3233481170796886
dense,C0,2.32,1,0.0625,0.27066702443097956,0.3543323577707705
dense,C0,2.32,2,0.125,0.2968305391892264,0.3885832233549672
dense,C0,2.32,3,0.1875,0.32439805604080135,0.42467207926358513
dense,C0,2.32,4,0.25,0.35148722468269233,0.4601347257204641
dense,C0,2.32,5,0.3125,0.3792623201771451,0.4964953244840101
dense,C0,2.32,6,0.375,0.410679303737971,0.5376235479259155
dense,C0,2.32,7,0.4375,0.4405414686444872,0.576716345882039
dense,C0,2.32,8,0.5,0.4721428268320265,0.6180859356164723
dense,C0,2.32,9,0.5625,0.50593491194405,0.6623234234187115
dense,C0,2.32,10,0.625,0.539364147607505,0.7060859021174316
dense,C0,2.32,11,0.6875,0.5744516471110895,0.7520192272187175
dense,C0,2.32,12,0.75,0.6092948310395618,0.7976327168544469
dense,C0,2.32,13,0.8125,0.6471313329853131,0.8471647829508662
dense,C0,2.32,14,0.875,0.684296617638603,0.8958181531429197
dense,C0,2.32,15,0.9375,0.7223586007640297,0.9456453984477973
dense,C0,2.32,16,1.0,0.7638666622259586,0.9999839323538726
dense,C0,2.36,0,0.0,0.24699948310592199,0.32334899089046815
dense,C0,2.36,1,0.0625,0.27066775713916547,0.3543333169648933
dense,C0,2.36,2,0.125,0.29683134083528173,0.38858427279620394
dense,C0,2.36,3,0.1875,0.3243989288760831,0.42467322189920537
dense,C0,2.36,4,0.25,0.35148817346504857,0.4601359677790045
dense,C0,2.36,5,0.3125,0.3792633445436059,0.49649666549030386
dense,C0,2.36,6,0.375,0.41068041293521484,0.537624999984863
dense,C0,2.36,7,0.4375,0.4405426608582005,0.5767179066185081
dense,C0,2.36,8,0.5,0.4721441097621403,0.6180876151105038
dense,C0,2.36,9,0.5625,0.5059362898058645,0.6623252271885886
dense,C0,2.36,10,0.625,0.539365624904394,0.706087836058557
dense,C0,2.36,11,0.6875,0.5744532321523517,0.7520213022088599
dense,C0,2.36,12,0.75,0.6092965247128627,0.7976349340556566
dense,C0,2.36,13,0.8125,0.6471331413577553,0.8471671503056355
dense,C0,2.36,14,0.875,0.6842985450839203,0.8958206763769382
dense,C0,2.36,15,0.9375,0.7223606485876761,0.9456480792700455
dense,C0,2.36,16,1.0,0.7638688450526921,0.9999867899097376
dense,C0,2.4,0,0.0,0.2470000317726451,0.323349709154446
dense,C0,2.4,1,0.0625,0.2706683590923423,0.3543341049865922
dense,C0,2.4,2,0.125,0.29683199905175334,0.3885851344726302
dense,C0,2.4,3,0.1875,0.3243996451675409,0.42467415960205857
dense,C0,2.4,4,0.25,0.3514889518070803,0.4601369867127584
dense,C0,2.4,5,0.3125,0.3792641845432897,0.49649776514058125
dense,C0,2.4,6,0.375,0.41068132212465736,0.5376261902120046
dense,C0,2.4,7,0.4375,0.44054363771065447,0.576719185423837
dense,C0,2.4,8,0.5,0.4721451606833332,0.6180889908798088
dense,C0,2.4,9,0.5625,0.5059374180937944,0.6623267042393055
dense,C0,2.4,10,0.625,0.5393668344251209,0.7060894194517754
dense,C0,2.4,11,0.6875,0.5744545297231398,0.7520230008691149
dense,C0,2.4,12,0.75,0.609297911091323,0.7976367489747427
dense,C0,2.4,13,0.8125,0.6471346214816012,0.8471690879475524
dense,C0,2.4,14,0.875,0.6843001225147531,0.895822741404207
dense,C0,2.4,15,0.9375,0.722362324319888,0.9456502729844326
dense,C0,2.4,16,1.0,0.763870631105956,0.9999891280462927
dense,C0,2.44,0,0.0,0.24700048323623894,0.32335030016903293
dense,C0,2.44,1,0.0625,0.27066885413270386,0.3543347530478729
dense,C0,2.44,2,0.125,0.2968325400535871,0.38858584270244034
dense,C0,2.44,3,0.1875,0.3244002335891597,0.424674929909487
dense,C0,2.44,4,0.25,0.35148959097459015,0.460137823452037
dense,C0,2.44,5,0.3125,0.37926487405461734,0.4964986677853528
dense,C0,2.44,6,0.375,0.41068206811947033,0.5376271667997569
dense,C0,2.44,7,0.4375,0.4405444389036905,0.5767202342720227
dense,C0,2.44,8,0.5,0.4721460224099214,0.6180901189729499
dense,C0,2.44,9,0.5625,0.5059383429268225,0.6623279149455895
dense,C0,2.44,10,0.625,0.5393678256858664,0.7060907171191135
dense,C0,2.44,11,0.6875,0.5744555930102302,0.752024392826715
dense,C0,2.44,12,0.75,0.6092990470507547,0.7976382360682834
dense,C0,2.44,13,0.8125,0.647135834136906,0.8471706754442718
dense,C0,2.44,14,0.875,0.6843014147665238,0.8958244331012939
dense,C0,2.44,15,0.9375,0.7223636969209029,0.9456520698673551
dense,C0,2.44,16,1.0,0.7638720939456788,0.9999910430614265
dense,C0,2.48,0,0.0,0.2470008551019666,0.3233507869814192
dense,C0,2.48,1,0.0625,0.2706692616696816,0.3543352865577768
dense,C0,2.48,2,0.125,0.29683298517170636,0.38858642541011595
dense,C0,2.48,3,0.1875,0.32440071746260146,0.4246755633520641
dense,C0,2.48,4,0.25,0.351490116389546,0.4601385112769411
dense,C0,2.48,5,0.3125,0.37926544061429734,0.49649940947314297
dense,C0,2.48,6,0.375,0.4106826808319978,0.5376279689066074
dense,C0,2.48,7,0.4375,0.44054509668668856,0.5767210953809851
dense,C0,2.48,8,0.5,0.4721467297123122,0.6180910449081439
