configuration,level_index,level_label,level_name,node,proxy_kernel,neural_reference,neural_ci99_lower,neural_ci99_upper,signed_log_error,signed_log_error_ci99_lower,signed_log_error_ci99_upper,absolute_log_error,absolute_log_error_ci99_lower,absolute_log_error_ci99_upper,previous_level,transition_margin,transition_margin_ci99_lower,transition_margin_ci99_upper,bootstrap_probability_margin_gt_zero,central_improves_vs_previous
M,2,M2,gauss_1node_2moments_lower,0.75,264.19366386903476,255.43930381608305,242.63746424779868,268.91658358005276,0.0336975865004857,-0.018934863781191396,0.08121201515980792,0.0336975865004857,0.0005645897698006488,0.08121201515980792,M1,0.016386655285105453,-0.016386655285105325,0.016386655285105557,0.98285,True
M,2,M2,gauss_1node_2moments_lower,0.9,292.10356971765805,282.29165783924765,269.40961857301994,295.7896622537711,0.03416764606486881,-0.013985202132306562,0.0772611026183384,0.03416764606486881,0.0006391952034500619,0.0772611026183384,M1,0.029750490776344875,0.001780086511731808,0.029750490776345076,0.99545,True
M,2,M2,gauss_1node_2moments_lower,0.95,302.1733679404027,291.9538478493785,278.9200302063214,305.59673039977406,0.034405184223948074,-0.012341449340963264,0.0765580666866319,0.034405184223948074,0.0005776121431624114,0.0765580666866319,M1,0.03526825955279472,0.010585360870868235,0.03526825955279494,0.99835,True
M,3,M3,zero_radau_2node_3moments_upper,0.5,226.87239848268072,220.12213061803934,207.05716803453873,234.01147058933373,0.03020520671784583,-0.030729440671330047,0.087622281394245,0.03020520671784583,0.00037448717816643767,0.087622281394245,M2,-0.00031429930337624826,-0.0003142993033763697,0.0003142993033762552,0.09235,False
M,3,M3,zero_radau_2node_3moments_upper,0.75,264.88782687553106,255.43930381608305,242.63746424779868,268.91658358005276,0.036321618589859696,-0.016310831691817476,0.08383604724918195,0.036321618589859696,0.0007190545169510813,0.08383604724918195,M2,-0.0026240320893739927,-0.0026240320893741176,0.002624032089373977,0.038,False
M,3,M3,zero_radau_2node_3moments_upper,0.9,293.95351972598553,282.29165783924765,269.40961857301994,295.7896622537711,0.04048087454065383,-0.0076719736565215284,0.08357433109412339,0.04048087454065383,0.0014072019906454605,0.08357433109412339,M2,-0.00631322847578502,-0.006313228475785217,0.006313228475785035,0.0188,False
M,3,M3,zero_radau_2node_3moments_upper,0.95,304.6307990376971,291.9538478493785,278.9200302063214,305.59673039977406,0.04250481394235942,-0.004241819622551933,0.08465769640504307,0.04250481394235942,0.0025233136794275603,0.08465769640504307,M2,-0.008099629718411348,-0.008099629718411501,0.008099629718411282,0.014,False
M,4,M4,gauss_2node_4moments_lower,0.5,226.8697750923549,220.12213061803934,207.05716803453873,234.01147058933373,0.03019364336544609,-0.03074100402372979,0.08761071804184528,0.03019364336544609,0.00036535375875956897,0.08761071804184528,M3,1.156335239974049e-05,-1.1563352399888809e-05,1.1563352400004168e-05,0.9086,True
M,4,M4,gauss_2node_4moments_lower,0.75,264.83726089787604,255.43930381608305,242.63746424779868,268.91658358005276,0.0361307045517077,-0.01650174572996935,0.08364513321103002,0.0361307045517077,0.0006882313230953287,0.08364513321103002,M3,0.0001909140381519958,-0.00019091403815201143,0.0001909140381521554,0.9665,True
M,4,M4,gauss_2node_4moments_lower,0.9,293.7757387282528,282.29165783924765,269.40961857301994,295.7896622537711,0.03987589869302447,-0.008276949504150928,0.08296935524649403,0.03987589869302447,0.001362846607165002,0.08296935524649403,M3,0.0006049758476293562,-0.000604975847629436,0.000604975847629613,0.9869,True
