epsilon,group,horizon,minimum_order,run_id
0.0001,width,32.0,3,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
1e-05,width,32.0,3,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.01,width,4.0,1,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.001,width,4.0,1,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.0001,width,4.0,2,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
1e-05,width,4.0,3,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.01,width,8.0,1,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.001,width,8.0,1,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.0001,width,8.0,2,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
1e-05,width,8.0,3,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.01,width,16.0,1,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.001,width,16.0,1,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.0001,width,16.0,2,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
1e-05,width,16.0,3,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.01,width,32.0,1,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.001,width,32.0,1,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.0001,width,32.0,2,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
1e-05,width,32.0,3,width_n96_L16_s7_sw0p65_A1_g1_r0_dt0p02
