source,case_id,fractional_loss_progress,depth_index,depth_fraction,gram_increment_fro,progress_path_scale,terminal_loss_reduction_fraction
PDE,C0,0.14,14,0.875,0.006813057514229566,0.4853351268197654,1.0
PDE,C0,0.14,15,0.9375,0.007117238571962123,0.4853351268197654,1.0
PDE,C0,0.14,16,1.0,0.007425415565095681,0.4853351268197654,1.0
PDE,C0,0.15,0,0.0,0.0031848318551585633,0.4853351268197654,1.0
PDE,C0,0.15,1,0.0625,0.0034511167931551216,0.4853351268197654,1.0
PDE,C0,0.15,2,0.125,0.0037216417870084314,0.4853351268197654,1.0
PDE,C0,0.15,3,0.1875,0.003996409618242811,0.4853351268197654,1.0
PDE,C0,0.15,4,0.25,0.004275423094243668,0.4853351268197654,1.0
PDE,C0,0.15,5,0.3125,0.004558685048278715,0.4853351268197654,1.0
PDE,C0,0.15,6,0.375,0.004846198339525727,0.4853351268197654,1.0
PDE,C0,0.15,7,0.4375,0.0051379658530951965,0.4853351268197654,1.0
PDE,C0,0.15,8,0.5,0.005433990500054526,0.4853351268197654,1.0
PDE,C0,0.15,9,0.5625,0.00573427521745107,0.4853351268197654,1.0
PDE,C0,0.15,10,0.625,0.006038822968340079,0.4853351268197654,1.0
PDE,C0,0.15,11,0.6875,0.006347636741807703,0.4853351268197654,1.0
PDE,C0,0.15,12,0.75,0.006660719552995506,0.4853351268197654,1.0
PDE,C0,0.15,13,0.8125,0.00697807444312659,0.4853351268197654,1.0
PDE,C0,0.15,14,0.875,0.00729970447953171,0.4853351268197654,1.0
PDE,C0,0.15,15,0.9375,0.007625612755673598,0.4853351268197654,1.0
PDE,C0,0.15,16,1.0,0.007955802391173846,0.4853351268197654,1.0
PDE,C0,0.16,0,0.0,0.00339715397883582,0.4853351268197654,1.0
PDE,C0,0.16,1,0.0625,0.003681191246032116,0.4853351268197654,1.0
PDE,C0,0.16,2,0.125,0.003969751239475672,0.4853351268197654,1.0
PDE,C0,0.16,3,0.1875,0.0042628369261256596,0.4853351268197654,1.0
PDE,C0,0.16,4,0.25,0.004560451300526408,0.4853351268197654,1.0
PDE,C0,0.16,5,0.3125,0.004862597384830659,0.4853351268197654,1.0
PDE,C0,0.16,6,0.375,0.005169278228827454,0.4853351268197654,1.0
PDE,C0,0.16,7,0.4375,0.005480496909968189,0.4853351268197654,1.0
PDE,C0,0.16,8,0.5,0.0057962565333914175,0.4853351268197654,1.0
PDE,C0,0.16,9,0.5625,0.006116560231947908,0.4853351268197654,1.0
PDE,C0,0.16,10,0.625,0.006441411166229417,0.4853351268197654,1.0
PDE,C0,0.16,11,0.6875,0.0067708125245947185,0.4853351268197654,1.0
PDE,C0,0.16,12,0.75,0.007104767523195086,0.4853351268197654,1.0
PDE,C0,0.16,13,0.8125,0.00744327940600165,0.4853351268197654,1.0
PDE,C0,0.16,14,0.875,0.007786351444833855,0.4853351268197654,1.0
PDE,C0,0.16,15,0.9375,0.008133986939385253,0.4853351268197654,1.0
PDE,C0,0.16,16,1.0,0.008486189217252041,0.4853351268197654,1.0
PDE,C0,0.17,0,0.0,0.003609476102512989,0.4853351268197654,1.0
